Table 8,,,,,,,,,,,,
Offenses Known to Law Enforcement,,,,,,,,,,,,
"by State by City, 2022",,,,,,,,,,,,
State,City,Population,"Violent
crime","Murder and
nonnegligent
manslaughter",Rape,Robbery,"Aggravated
assault","Property
crime",Burglary,"Larceny-
theft","Motor
vehicle
theft",Arson1
,Sylacauga,"12,205",74,3,7,1,63,400,133,241,26,2
,Sylvania,"1,805",0,0,0,0,0,16,3,11,2,0
,Talladega,"15,448",100,3,11,2,84,377,65,271,41,0
,Tallassee,"4,816",33,1,2,2,28,225,53,141,31,1
,Tarrant,"5,913",149,0,3,15,131,270,58,168,44,5
,Thomasville,"3,518",19,0,0,0,19,86,7,70,9,1
,Thorsby,"2,117",4,0,0,0,4,14,5,7,2,0
,Trafford,598,0,0,0,0,0,1,1,0,0,0
,Triana,"3,829",7,0,0,0,7,17,10,7,0,0
,Trinity,"2,553",8,1,0,0,7,52,7,38,7,1
,Troy,"17,639",73,0,11,7,55,443,77,347,19,0
,Trussville,"26,561",41,4,3,8,26,692,18,641,33,0
,Tuscaloosa,"101,280",646,12,27,60,547,"2,919",356,"2,312",251,4
,Tuscumbia,"9,081",0,0,0,0,0,28,9,12,7,0
,Tuskegee,"8,600",82,8,2,11,61,130,26,94,10,2
,Union Springs,"3,301",50,2,0,4,44,58,11,36,11,2
,Valley,"10,475",54,4,9,7,34,384,52,297,35,1
,Vernon,"1,833",5,0,0,0,5,47,6,38,3,0
,Vestavia Hills,"38,515",30,3,7,3,17,281,29,217,35,1
,Walnut Grove,773,0,0,0,0,0,0,0,0,0,0
,Warrior,"3,189",5,0,1,0,4,12,2,8,2,0
,Weaver,"3,394",16,0,3,0,13,77,20,51,6,0
,Wedowee,719,3,0,0,0,3,28,4,21,3,0
,Wetumpka,"7,317",12,1,1,0,10,249,20,220,9,1
,Winfield,"4,805",6,0,2,0,4,143,22,113,8,1
,Woodstock,"1,691",11,0,5,0,6,55,4,43,8,0
,York,"2,387",1,0,0,0,1,0,0,0,0,0
ALASKA,Anchorage,"285,821","3,289",29,492,436,"2,332","7,900","1,179","5,605","1,116",136
,Bethel,"6,267",78,1,3,2,72,17,4,8,5,2
,Bristol Bay Borough,846,5,0,2,1,2,8,3,5,0,0
,Cordova,"2,160",4,0,0,0,4,6,2,3,1,0
,Craig,"1,028",2,0,0,0,2,4,1,1,2,0
,Fairbanks,"32,785",271,10,37,32,192,"1,407",130,"1,109",168,25
,Haines,"2,058",1,0,0,0,1,8,3,4,1,0
,Homer,"5,894",25,1,8,0,16,73,4,63,6,0
,Juneau,"31,775",197,2,81,23,91,550,56,450,44,8
,Kenai,"7,713",26,1,8,0,17,152,9,138,5,0
,Ketchikan,"7,953",13,0,3,1,9,74,5,69,0,0
,Kodiak,"5,357",17,0,5,0,12,44,2,35,7,0
,Kotzebue,"3,041",46,0,7,0,39,30,9,15,6,1
,Nome,"3,546",72,0,48,1,23,18,1,16,1,1
,North Pole,"2,335",6,0,0,0,6,50,4,39,7,0
,North Slope Borough,"10,959",81,2,8,1,70,61,17,28,16,5
,Palmer,"6,305",29,0,4,0,25,101,6,75,20,2
,Petersburg,"3,314",2,0,0,0,2,39,4,33,2,0
,Seward,"2,667",10,0,1,1,8,43,2,37,4,0
,Sitka,"8,392",8,0,0,1,7,36,0,31,5,0
,Skagway,"1,035",0,0,0,0,0,5,0,5,0,0
,Soldotna,"4,527",13,0,3,1,9,80,7,72,1,2
,Unalaska,"3,908",5,0,1,0,4,19,4,10,5,1
,Valdez,"3,839",4,0,2,0,2,14,4,10,0,0
,Wasilla,"9,809",53,0,5,9,39,300,11,270,19,1
,Wrangell,"1,984",4,0,0,0,4,6,1,5,0,0
ARIZONA,Apache Junction,"41,099",135,4,16,7,108,786,107,572,107,4
,Avondale,"91,467",384,6,40,72,266,"2,888",285,"2,328",275,16
,Bisbee,"4,909",12,1,0,1,10,34,7,20,7,1
,Buckeye,"110,002",205,1,53,7,144,"1,141",141,885,115,5
,Camp Verde,"12,362",23,0,4,0,19,170,30,114,26,0
,Casa Grande,"61,271",353,5,39,45,264,"1,635",195,"1,266",174,11
,Chandler,"281,373",513,11,95,72,335,"5,086",478,"4,166",442,13
,Chino Valley,"13,875",14,0,0,0,14,69,11,48,10,1
,Clarkdale,"4,815",8,0,0,0,8,31,13,15,3,1
,Coolidge,"16,027",89,4,5,11,69,403,44,320,39,2
,Cottonwood,"12,680",43,0,5,4,34,259,21,213,25,0
,Douglas,"16,529",19,1,3,1,14,209,41,153,15,2
,Eagar,"4,448",1,0,0,0,1,19,2,17,0,0
,El Mirage,"36,039",119,5,6,10,98,511,38,409,64,10
,Eloy,"15,717",109,0,10,0,99,304,70,197,37,8
,Florence,"26,814",36,0,0,1,35,100,12,81,7,2
,Fredonia,"1,330",0,0,0,0,0,3,0,3,0,0
,Gilbert,"277,123",323,2,74,30,217,"2,818",276,"2,332",210,10
,Glendale,"250,466","1,365",20,156,200,989,"8,115",947,"6,063","1,105",39
,Globe,"7,155",114,0,1,5,108,359,52,283,24,
,Goodyear,"107,212",181,2,11,28,140,"1,995",279,"1,570",146,6
,Huachuca City,"1,622",1,0,0,0,1,21,4,16,1,0
,Jerome,471,0,0,0,0,0,12,1,11,0,
,Kingman,"34,803",133,1,13,15,104,"1,100",112,910,78,8
,Lake Havasu City,"59,166",163,0,35,2,126,804,91,631,82,3
,Litchfield Park,"6,989",19,0,0,4,15,89,15,62,12,1
,Mammoth,"1,135",9,0,0,0,9,35,13,22,0,
,Marana,"57,119",49,1,5,17,26,"1,274",85,"1,154",35,7
,Maricopa,"66,525",125,1,8,6,110,507,37,416,54,6
,Mesa,"513,116","2,193",27,245,311,"1,610","9,081","1,098","6,918","1,065",28
,Miami,"1,540",24,0,1,3,20,59,6,39,14,
,Nogales,"19,725",48,1,0,1,46,701,95,409,197,0
,Oro Valley,"48,441",16,1,4,3,8,575,45,507,23,2
,Page,"7,328",60,1,10,2,47,327,22,285,20,0
,Paradise Valley,"12,663",12,0,6,0,6,181,40,129,12,0
,Parker,"3,263",12,0,2,2,8,57,15,35,7,0
,Payson,"16,638",82,0,1,2,79,270,70,184,16,1
,Peoria,"197,894",386,3,62,53,268,"2,734",370,"2,120",244,5
,Phoenix,"1,637,902","13,515",217,"1,105","3,207","8,986","47,530","6,266","33,631","7,633",257
,Pima,"2,960",0,0,0,0,0,16,5,8,3,
,Pinetop-Lakeside,"4,179",22,0,2,2,18,106,13,87,6,0
,Prescott,"47,878",192,1,21,8,162,636,127,474,35,6
,Prescott Valley,"49,422",140,2,26,5,107,372,43,308,21,3
,Queen Creek,"72,229",105,0,16,1,88,717,85,602,30,4
,Sahuarita,"36,229",36,0,6,3,27,334,26,283,25,2
,San Luis,"38,528",20,0,0,1,19,212,30,141,41,1
,Sedona,"9,829",37,0,6,2,29,171,41,122,8,3
,Show Low,"12,157",80,0,13,1,66,244,30,200,14,0
,Sierra Vista,"45,611",128,1,19,11,97,738,83,630,25,7
,Snowflake-Taylor,"10,834",38,1,9,1,27,153,15,124,14,1
,Somerton,"14,480",9,3,1,0,5,80,20,41,19,1
,South Tucson,"4,537",109,2,3,15,89,603,51,514,38,3
,Springerville,"1,706",8,0,0,0,8,4,1,1,2,0
,St. Johns,"3,365",20,0,3,0,17,42,12,24,6,1
,Superior,"2,528",12,0,0,1,11,91,14,66,11,1
,Surprise,"154,128",182,2,23,35,122,"2,163",203,"1,811",149,15
,Tempe,"187,473","1,095",7,156,178,754,"8,126",929,"6,405",792,30
,Thatcher,"5,369",2,0,0,0,2,34,4,30,0,0
,Tombstone,"1,308",4,0,0,0,4,41,9,29,3,0
,Wellton,"2,528",2,0,0,0,2,18,2,16,0,1
,Wickenburg,"7,868",8,0,1,0,7,158,29,110,19,0
,Willcox,"3,202",8,0,0,2,6,114,35,75,4,2
,Williams,"3,316",27,0,1,1,25,98,5,84,9,0
,Yuma,"98,164",551,19,41,50,441,"1,657",450,990,217,13
ARKANSAS,Alexander,"3,798",31,0,7,0,24,79,36,34,9,1
,Alma,"5,874",24,0,9,0,15,156,32,117,7,0
,Arkadelphia,"10,233",25,0,5,2,18,195,53,133,9,1
,Ashdown,"4,150",5,0,1,0,4,73,9,56,8,1
,Ash Flat,"1,128",1,0,0,0,1,20,4,16,0,0
,Atkins,"2,864",15,0,1,1,13,64,12,48,4,0
,Augusta,"1,928",2,0,0,1,1,15,5,10,0,0
,Austin,"4,547",4,0,1,0,3,25,11,13,1,0
,Bald Knob,"2,534",16,0,7,1,8,64,14,48,2,0
,Barling,"4,894",24,0,7,1,16,59,5,52,2,0
,Batesville,"11,129",45,0,20,0,25,204,50,141,13,0
,Bay,"1,825",8,0,1,0,7,30,6,22,2,0
,Beebe,"8,683",43,0,5,1,37,191,18,158,15,0
,Bella Vista,"31,316",69,0,29,1,39,133,10,118,5,0
,Benton,"36,282",125,3,17,12,93,"1,020",152,793,75,6
,Bentonville,"58,871",188,1,29,2,156,686,69,575,42,1
,Berryville,"5,727",12,0,4,1,7,191,36,150,5,2
,Blytheville,"12,732",123,3,6,8,106,523,48,454,21,0
,Bonanza,601,11,0,0,0,11,2,0,2,0,3
,Bono,"2,738",0,0,0,0,0,8,0,8,0,0
,Booneville,"3,826",17,0,3,0,14,51,8,39,4,1
,Bradford,681,0,0,0,0,0,11,4,6,1,0
,Brookland,"4,355",20,0,9,0,11,62,17,38,7,0
,Bryant,"21,407",26,2,3,5,16,744,54,657,33,4
,Bull Shoals,"1,948",8,0,0,0,8,16,4,12,0,0
,Cabot,"26,750",99,2,33,4,60,447,57,345,45,2
,Caddo Valley,589,6,0,2,0,4,29,7,21,1,0
,Cammack Village,756,2,0,0,0,2,4,0,3,1,0
,Caraway,"1,106",2,0,0,0,2,13,1,12,0,0
,Carlisle,"1,991",5,0,1,0,4,73,7,55,11,0
,Cave Springs,"6,218",7,0,6,0,1,16,6,8,2,0
,Centerton,"21,927",45,0,8,0,37,93,29,57,7,0
,Charleston,"2,642",6,0,3,0,3,44,11,31,2,0
,Cherokee Village,"4,944",17,0,4,0,13,59,15,42,2,0
,Cherry Valley,562,1,0,0,0,1,7,0,7,0,0
,Clarendon,"1,476",7,0,0,0,7,73,15,56,2,3
,Clarksville,"9,559",21,0,8,0,13,196,31,153,12,1
,Conway,"66,487",384,7,46,15,316,"1,890",138,"1,628",124,6
,Corning,"3,124",14,0,1,0,13,35,4,29,2,0
,Cotter,924,0,0,0,0,0,4,1,2,1,0
,Crossett,"4,619",33,0,4,0,29,167,56,110,1,3
,Damascus,384,1,0,0,0,1,1,0,1,0,0
,Danville,"2,001",8,0,0,0,8,9,3,6,0,0
,Dardanelle,"4,485",14,0,4,0,10,80,15,55,10,1
,Decatur,"1,733",6,0,1,0,5,26,4,21,1,0
,De Queen,"6,069",29,3,4,0,22,136,29,100,7,2
,Des Arc,"1,844",0,0,0,0,0,13,5,8,0,0
,DeWitt,"2,832",27,1,3,0,23,76,11,65,0,0
,Diamond City,789,5,0,0,0,5,4,3,1,0,0
,Diaz,"1,266",3,0,0,0,3,4,2,2,0,0
,Dover,"1,335",0,0,0,0,0,17,8,9,0,1
,Dumas,"3,796",26,2,6,3,15,68,10,50,8,0
,Earle,"1,758",7,0,0,0,7,26,10,13,3,0
,El Dorado,"17,037",295,9,6,16,264,541,218,297,26,5
,Elkins,"3,828",11,0,4,1,6,29,5,19,5,0
,England,"2,427",17,0,1,0,16,41,14,26,1,0
,Etowah,243,0,0,0,0,0,5,1,3,1,0
,Eudora,"1,664",7,0,0,0,7,28,7,19,2,0
,Eureka Springs,"2,195",12,0,0,1,11,49,13,29,7,0
,Fairfield Bay,"2,111",5,0,4,0,1,36,7,26,3,0
,Farmington,"8,862",15,0,6,2,7,62,14,41,7,0
,Fayetteville,"96,456",486,2,55,40,389,"3,890",337,"3,155",398,6
,Flippin,"1,344",3,0,1,0,2,54,5,48,1,0
,Fordyce,"3,254",57,0,2,1,54,167,29,122,16,1
,Forrest City,"12,807",283,12,6,16,249,526,105,361,60,9
,Fort Smith,"90,013",940,3,70,66,801,"4,450",733,"3,293",424,17
,Gassville,"2,208",3,0,0,0,3,52,5,45,2,0
,Gentry,"4,156",19,0,2,0,17,15,0,9,6,1
,Gillett,586,0,0,0,0,0,3,1,2,0,0
,Goshen,"2,250",5,0,1,0,4,10,0,7,3,1
,Gravette,"3,721",10,0,3,0,7,60,9,43,8,0
,Greenbrier,"5,954",4,0,0,0,4,4,0,3,1,0
,Green Forest,"3,081",21,0,6,2,13,47,11,29,7,0
,Greenland,"1,215",2,0,0,0,2,12,1,10,1,0
,Greenwood,"9,705",14,0,2,0,12,39,13,22,4,1
,Greers Ferry,833,1,0,0,0,1,8,2,5,1,0
,Gurdon,"1,847",23,0,2,1,20,18,3,14,1,0
,Guy,743,2,0,2,0,0,3,0,3,0,0
,Hackett,842,3,0,0,0,3,9,0,9,0,1
,Hamburg,"2,425",22,0,1,0,21,46,11,34,1,0
,Hampton,"1,191",1,0,0,0,1,13,8,4,1,0
,Harrisburg,"2,199",16,1,4,0,11,36,12,21,3,1
,Harrison,"13,350",20,0,5,1,14,280,64,200,16,0
,Hartford,501,0,0,0,0,0,1,0,1,0,0
,Haskell,"4,061",11,0,2,0,9,45,19,22,4,0
,Hazen,"1,418",9,3,1,1,4,22,9,7,6,0
,Heber Springs,"7,353",39,0,14,2,23,188,34,143,11,0
,Helena-West Helena,"8,874",147,5,11,11,120,302,94,180,28,9
